StockCode,description,elasticity_category,confidence,current_price,recommended_price,final_change_pct,action,elasticity,p_value,r_squared,total_revenue
85099B,jumbo bag red retrospot,unusual,low,2.0592857142857146,2.0592857142857146,0.0,hold — low confidence,1.2523,0.7649,0.0085,85196.0
23166,medium ceramic top storage jar,highly elastic,high,1.1975,1.1975,0.0,hold — price sensitive,-30.9144,0.0001,0.8999,81416.73000000001
47566,party bunting,unusual,low,4.95,4.95,0.0,hold — low confidence,11.1607,0.331,0.086,68714.85
POST,postage,elastic,low,21.333333333333332,21.333333333333332,0.0,hold — low confidence,-1.4007,0.334,0.0849,66607.27
23084,rabbit night light,highly elastic,low,1.9752100840336135,1.9752100840336135,0.0,hold — low confidence,-29.7761,0.233,0.2267,50218.71
79321,chilli lights,highly elastic,medium,5.8373684210526315,5.8373684210526315,0.0,hold — price sensitive,-6.5374,0.1999,0.1446,46286.51
22086,paper chain kit 50's christmas,unusual,low,2.9273076923076924,2.9273076923076924,0.0,hold — low confidence,4.5297,0.8985,0.0017,42660.83
M,manual,inelastic,low,29.150000000000002,29.150000000000002,0.0,hold — low confidence,-0.1091,0.7484,0.0097,41508.49
22386,jumbo bag pink polkadot,unusual,low,2.041333333333333,2.041333333333333,0.0,hold — low confidence,1.1287,0.868,0.0026,37285.46
23284,doormat keep calm and come in,unusual,low,8.255277777777778,8.255277777777778,0.0,hold — low confidence,5.6097,0.764,0.0137,35913.85
82484,wood black board ant white finish,highly elastic,high,7.510714285714286,7.510714285714286,0.0,hold — price sensitive,-3.1418,0.044,0.3197,34444.75
22960,jam making set with jars,highly elastic,low,4.314166666666666,4.314166666666666,0.0,hold — low confidence,-4.6614,0.4764,0.0471,32662.97
85099F,jumbo bag strawberry,highly elastic,low,2.041333333333333,2.041333333333333,0.0,hold — low confidence,-2.4145,0.7012,0.0139,30631.81
22178,victorian glass hanging t-light,inelastic,rule-based,1.9374193548387095,2.03,5.0,increase price (rule-based),-0.1008,0.8434,0.0037,28776.51
22910,paper chain kit vintage christmas,unusual,low,2.9452000000000003,2.9452000000000003,0.0,hold — low confidence,7.7707,0.5565,0.0324,25669.27
20685,doormat red retrospot,highly elastic,high,7.925000000000001,7.925000000000001,0.0,hold — price sensitive,-16.8951,0.008,0.4865,25366.27
22699,roses regency teacup and saucer,highly elastic,low,3.0363157894736843,3.0363157894736843,0.0,hold — low confidence,-7.6204,0.2331,0.1264,24865.600000000002
22457,natural slate heart chalkboard,unusual,low,3.02625,3.02625,0.0,hold — low confidence,3.4793,0.2463,0.12,24245.52
21175,gin + tonic diet metal sign,highly elastic,low,2.5286363636363633,2.5286363636363633,0.0,hold — low confidence,-2.1418,0.4957,0.0432,23804.879999999997
